id,name,detail,img
R.122,Dừng lại,Biển báo hiệu buộc các xe cơ giới và thô sơ kể cả xe được ưu tiên theo quy định phải dừng lại. Chỉ được phép đi nếu có người điều khiển giao thông hoặc đèn cờ cho phép đi. Nếu không thì chỉ được phép đi khi trên đường không còn nguy cơ gây mất an toàn giao thông.,R122
R.301a,Các xe chỉ được đi thẳng,"Được đặt trước ngã ba, ngã tư. Các xe chỉ được đi thẳng ở khu vực ngã ba, ngã tư.",R301a
R.301b,Các xe chỉ được rẽ phải,"Được đặt sau ngã ba, ngã tư. Các xe chỉ được rẽ phải ở khu vực trước mặt biển.",R301b
R.301c,Các xe chỉ được rẽ trái,"Được đặt sau ngã ba, ngã tư. Các xe chỉ được rẽ trái ở khu vực trước mặt biển.",R301c
R.301d,Các xe chỉ được rẽ phải,"Được đặt trước ngã ba, ngã tư. Các xe chỉ được rẽ phải ở phạm vi ngã ba, ngã tư đằng sau mặt biển.",R301d
R.301e,Các xe chỉ được rẽ trái,"Được đặt trước ngã ba, ngã tư. Các xe chỉ được rẽ trái ở phạm vi ngã ba, ngã tư đằng sau mặt biển.",R301e
R.301f,Các xe chỉ được đi thẳng và rẽ phải,"Được đặt trước ngã ba, ngã tư. Các xe chỉ được phép đi thẳng hay rẽ phải ở khu vực sau mặt biển.",R301f
R.301g,Các xe chỉ được đi thẳng và rẽ trái,"Được đặt trước ngã ba, ngã tư. Các xe chỉ được phép đi thẳng hay rẽ trái ở khu vực sau mặt biển và được phép quay đầu xe để đi theo hướng ngược lại.",R301g
R.301h,Các xe chỉ được rẽ trái và phải,"Được đặt sau ngã ba, ngã tư. Các xe chỉ được phép rẽ trái, quay đầu hoặc rẽ phải ở khu vực ngã ba, ngã tư trước mặt biển.",R301h
R.302a,Hướng phải đi vòng chướng ngại vật,,R302a
R.302b,Hướng phải đi vòng chướng ngại vật,,R302b
R.302c,Hướng phải đi vòng chướng ngại vật,,R302c
R.303,Nơi giao nhau chạy theo vòng xuyến,"Biển có hiệu lực bắt buộc các xe muốn chuyển hướng phải chạy vòng theo đảo an toàn theo hướng mũi tên tại nơi đường giao nhau (ngã ba, ngã tư).",R303
R.304,Đường dành cho xe thô sơ,"Biển báo đường dành cho xe thô sơ (kể cả xe của người khuyết tật) và người đi bộ, bắt buộc phải đi theo đường dành riêng này, cấm phương tiện giao thông cơ giới kể cả các xe được ưu tiên theo Luật Giao thông đường bộ đi vào đường đã đặt biển này, trừ trường hợp đi cắt ngang qua nhưng phải bảo đảm tuyệt đối an toàn cho người đi bộ.",R304
