id,name,detail,img
P.101,Đường cấm,"Biển báo đường cấm tất cả các loại phương tiện tham gia giao thông đi lại cả hai hướng, trừ xe ưu tiên theo luật định.",P101
P.102,Cấm đi ngược chiều,Biển báo đường cấm tất cả các loại phương tiện tham gia giao thông đi vào theo chiều đặt biển.,P102
P.103a,Cấm ô tô,"Biển báo đường cấm tất cả các loại xe cơ giới kể cả mô tô 3 bánh có thùng đi qua, trừ xe mô tô 2 bánh, xe gắn máy (kể cả xe máy điện) và các xe được ưu tiên theo Luật Giao thông đường bộ.",P103a
P.103b,Cấm ô tô rẽ phải,"Biển báo đường cấm xe ô tô rẽ phải ( kể cả xe mô tô ba bánh), trừ các xe được ưu tiên theo Luật Giao thông đường bộ.",P103b
P.103c,Cấm ô tô rẽ trái,"Biển báo đường cấm xe ô tô rẽ trái và cũng không được phép quay đầu xe, trừ các xe được ưu tiên theo Luật Giao thông đường bộ.",P103c
P.104,Cấm mô tô,"Biển báo đường cấm tất cả các loại mô tô đi qua, trừ các loại xe mô tô được ưu tiên theo Luật Giao thông đường bộ.",P104
P.105,Cấm ô tô và mô tô,Biển báo đường cấm tất cả xe cơ giới và xe mô tô đi qua trừ xe gắn máy và xe được ưu tiên theo Luật Giao thông đường bộ.,P105
P.106a,Cấm ô tô tải,"Biển báo đường cấm tất cả các loại xe ô tô tải trừ các xe được ưu tiên theo Luật Giao thông đường bộ, hiệu lực cấm đối với cả máy kéo và xe máy chuyên dùng.",P106a
P.106b,Cấm ô tô tải theo trọng lượng,Trọng lượng được tính theo tấn ghi trên biển,P106b
P.106c,Cấm ô tô tải chở hàng nguy hiểm,Biển báo P.106c đường cấm tất cả các loại xe ô tô tải chở hàng nguy hiểm.,P106c
P.107,Cấm ô tô khách và ô tô tải,"Biển báo đường cấm xe ô tô khách và các loại xe ô tô tải, kể cả máy kéo và xe máy chuyên dùng đi qua, trừ các xe được ưu tiên theo Luật Giao thông đường bộ.",P107
P.107a,Cấm ô tô khách,Biển báo đường cấm ôtô chở khách đi qua trừ các xe ưu tiên theo quy định. Biển này không cấm xe buýt.,P107a
P.107b,Cấm xe taxi,Biển báo đường cấm ôtô taxi đi lại. Trường hợp cấm xe ôtô taxi theo giờ thì đặt biển phụ ghi giờ cấm.,P107b
P.108,Cấm ôtô kéo rơ moóc,"Biển báo đường cấm tất cả các loại xe cơ giới kéo theo rơ moóc kể cả xe mô tô, máy kéo, xe ô tô khách kéo theo rơ moóc đi qua, trừ loại xe ô tô sơ mi rơ moóc và các xe được ưu tiên theo Luật Giao thông đường bộ (có kéo theo rơ moóc).",P108
P.108a,Cấm xe sơ-mi rơ-moóc,Biển báo đường cấm các loại xe sơ-mi-rơ-moóc và các xe kéo rơ- moóc trừ các xe được ưu tiên (có dạng xe sơ-mi-rơ-moóc hoặc có kéo theo rơ-moóc) theo quy định.,P108a
P.109,Cấm máy kéo,"Biển báo đường cấm tất cả các loại máy kéo, kể cả máy kéo bánh hơi và bánh xích đi qua.",P109
P.110a,Cấm xe đạp,Biển báo đường cấm xe đạp đi qua. Biển không có giá trị cấm những người dắt xe đạp.,P110a
P.110b,Cấm xe đạp thồ,Biển báo đường cấm xe đạp thồ đi qua. Biển không có giá trị cấm người dắt loại xe này.,P110b
